brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description
Bmw,128i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2015,2015 Bmw 128i in excellent condition.
Bmw,128i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2016,2016 Bmw 128i in excellent condition.
Bmw,128i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2017,2017 Bmw 128i in excellent condition.
Bmw,128i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2018,2018 Bmw 128i in excellent condition.
Bmw,128i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2019,2019 Bmw 128i in excellent condition.
Bmw,128i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2020,2020 Bmw 128i in excellent condition.
Bmw,128i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2021,2021 Bmw 128i in excellent condition.
Bmw,128i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2022,2022 Bmw 128i in excellent condition.
Bmw,128i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2023,2023 Bmw 128i in excellent condition.
Bmw,128i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2024,2024 Bmw 128i in excellent condition.
Bmw,135i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2015,2015 Bmw 135i in excellent condition.
Bmw,135i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2016,2016 Bmw 135i in excellent condition.
Bmw,135i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2017,2017 Bmw 135i in excellent condition.
Bmw,135i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2018,2018 Bmw 135i in excellent condition.
Bmw,135i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2019,2019 Bmw 135i in excellent condition.
Bmw,135i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2020,2020 Bmw 135i in excellent condition.
Bmw,135i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2021,2021 Bmw 135i in excellent condition.
Bmw,135i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2022,2022 Bmw 135i in excellent condition.
Bmw,135i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2023,2023 Bmw 135i in excellent condition.
Bmw,135i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2024,2024 Bmw 135i in excellent condition.
Bmw,328i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2015,2015 Bmw 328i in excellent condition.
Bmw,328i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2016,2016 Bmw 328i in excellent condition.
Bmw,328i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2017,2017 Bmw 328i in excellent condition.
Bmw,328i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2018,2018 Bmw 328i in excellent condition.
Bmw,328i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2019,2019 Bmw 328i in excellent condition.
Bmw,328i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2020,2020 Bmw 328i in excellent condition.
Bmw,328i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2021,2021 Bmw 328i in excellent condition.
Bmw,328i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2022,2022 Bmw 328i in excellent condition.
Bmw,328i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2023,2023 Bmw 328i in excellent condition.
Bmw,328i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2024,2024 Bmw 328i in excellent condition.
Bmw,M3,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2015,2015 Bmw M3 in excellent condition.
Bmw,M3,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2016,2016 Bmw M3 in excellent condition.
Bmw,M3,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2017,2017 Bmw M3 in excellent condition.
Bmw,M3,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2018,2018 Bmw M3 in excellent condition.
Bmw,M3,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2019,2019 Bmw M3 in excellent condition.
Bmw,M3,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2020,2020 Bmw M3 in excellent condition.
Bmw,M3,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2021,2021 Bmw M3 in excellent condition.
Bmw,M3,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2022,2022 Bmw M3 in excellent condition.
Bmw,M3,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2023,2023 Bmw M3 in excellent condition.
Bmw,M3,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2024,2024 Bmw M3 in excellent condition.
Bmw,335i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2015,2015 Bmw 335i in excellent condition.
Bmw,335i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2016,2016 Bmw 335i in excellent condition.
Bmw,335i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2017,2017 Bmw 335i in excellent condition.
Bmw,335i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2018,2018 Bmw 335i in excellent condition.
Bmw,335i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2019,2019 Bmw 335i in excellent condition.
Bmw,335i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2020,2020 Bmw 335i in excellent condition.
Bmw,335i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2021,2021 Bmw 335i in excellent condition.
Bmw,335i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2022,2022 Bmw 335i in excellent condition.
Bmw,335i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2023,2023 Bmw 335i in excellent condition.
Bmw,335i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/335i-2024,2024 Bmw 335i in excellent condition.
Audi,TT,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2015,2015 Audi TT in excellent condition.
Audi,TT,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2016,2016 Audi TT in excellent condition.
Audi,TT,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2017,2017 Audi TT in excellent condition.
Audi,TT,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2018,2018 Audi TT in excellent condition.
Audi,TT,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2019,2019 Audi TT in excellent condition.
Audi,TT,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2020,2020 Audi TT in excellent condition.
Audi,TT,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2021,2021 Audi TT in excellent condition.
Audi,TT,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2022,2022 Audi TT in excellent condition.
Audi,TT,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2023,2023 Audi TT in excellent condition.
Audi,TT,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/tt-2024,2024 Audi TT in excellent condition.
Audi,A4,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2015,2015 Audi A4 in excellent condition.
Audi,A4,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2016,2016 Audi A4 in excellent condition.
Audi,A4,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2017,2017 Audi A4 in excellent condition.
Audi,A4,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2018,2018 Audi A4 in excellent condition.
Audi,A4,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2019,2019 Audi A4 in excellent condition.
Audi,A4,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2020,2020 Audi A4 in excellent condition.
Audi,A4,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2021,2021 Audi A4 in excellent condition.
Audi,A4,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2022,2022 Audi A4 in excellent condition.
Audi,A4,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2023,2023 Audi A4 in excellent condition.
Audi,A4,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a4-2024,2024 Audi A4 in excellent condition.
Audi,S4,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2015,2015 Audi S4 in excellent condition.
Audi,S4,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2016,2016 Audi S4 in excellent condition.
Audi,S4,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2017,2017 Audi S4 in excellent condition.
Audi,S4,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2018,2018 Audi S4 in excellent condition.
Audi,S4,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2019,2019 Audi S4 in excellent condition.
Audi,S4,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2020,2020 Audi S4 in excellent condition.
Audi,S4,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2021,2021 Audi S4 in excellent condition.
Audi,S4,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2022,2022 Audi S4 in excellent condition.
Audi,S4,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2023,2023 Audi S4 in excellent condition.
Audi,S4,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/s4-2024,2024 Audi S4 in excellent condition.
Audi,A6,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2015,2015 Audi A6 in excellent condition.
Audi,A6,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2016,2016 Audi A6 in excellent condition.
Audi,A6,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2017,2017 Audi A6 in excellent condition.
Audi,A6,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2018,2018 Audi A6 in excellent condition.
Audi,A6,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2019,2019 Audi A6 in excellent condition.
Audi,A6,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2020,2020 Audi A6 in excellent condition.
Audi,A6,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2021,2021 Audi A6 in excellent condition.
Audi,A6,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2022,2022 Audi A6 in excellent condition.
Audi,A6,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2023,2023 Audi A6 in excellent condition.
Audi,A6,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/a6-2024,2024 Audi A6 in excellent condition.
Audi,RS 6,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2015,2015 Audi RS 6 in excellent condition.
Audi,RS 6,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2016,2016 Audi RS 6 in excellent condition.
Audi,RS 6,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2017,2017 Audi RS 6 in excellent condition.
Audi,RS 6,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2018,2018 Audi RS 6 in excellent condition.
Audi,RS 6,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2019,2019 Audi RS 6 in excellent condition.
Audi,RS 6,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2020,2020 Audi RS 6 in excellent condition.
Audi,RS 6,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2021,2021 Audi RS 6 in excellent condition.
Audi,RS 6,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2022,2022 Audi RS 6 in excellent condition.
Audi,RS 6,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2023,2023 Audi RS 6 in excellent condition.
Audi,RS 6,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/audi/rs-6-2024,2024 Audi RS 6 in excellent condition.
Mercedes-Benz,Sprinter,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2015,2015 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2016,2016 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2017,2017 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2018,2018 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2019,2019 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2020,2020 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2021,2021 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2022,2022 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2023,2023 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,Sprinter,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sprinter-2024,2024 Mercedes-Benz Sprinter in excellent condition.
Mercedes-Benz,SL-Class,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2015,2015 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2016,2016 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2017,2017 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2018,2018 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2019,2019 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2020,2020 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2021,2021 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2022,2022 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2023,2023 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SL-Class,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/sl-class-2024,2024 Mercedes-Benz SL-Class in excellent condition.
Mercedes-Benz,SLK-Class,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2015,2015 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2016,2016 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2017,2017 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2018,2018 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2019,2019 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2020,2020 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2021,2021 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2022,2022 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2023,2023 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,SLK-Class,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/slk-class-2024,2024 Mercedes-Benz SLK-Class in excellent condition.
Mercedes-Benz,E-Class,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2015,2015 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2016,2016 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2017,2017 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2018,2018 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2019,2019 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2020,2020 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2021,2021 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2022,2022 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2023,2023 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,E-Class,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/e-class-2024,2024 Mercedes-Benz E-Class in excellent condition.
Mercedes-Benz,CLS-Class,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2015,2015 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2016,2016 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2017,2017 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2018,2018 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2019,2019 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2020,2020 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2021,2021 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2022,2022 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2023,2023 Mercedes-Benz CLS-Class in excellent condition.
Mercedes-Benz,CLS-Class,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/mercedes-benz/cls-class-2024,2024 Mercedes-Benz CLS-Class in excellent condition.
